post_id,title,category,score,num_comments,author,collected_at
47762864,Backblaze has stopped backing up your data,technology,150,78,rrreese,2026-04-14 10:38:29
47762901,An AI Vibe Coding Horror Story,technology,137,113,teichmann,2026-04-14 10:38:33
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,41,11,tie-in,2026-04-14 10:38:35
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,24,2,adunk,2026-04-14 10:38:35
47708457,Rust Threads on the GPU,technology,76,22,PaulHoule,2026-04-14 10:38:37
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,73,20,mufeedvh,2026-04-14 10:38:37
47728970,"Write less code, be more responsible",technology,93,57,orhunp_,2026-04-14 10:38:38
47753689,Building a CLI for all of Cloudflare,technology,311,101,soheilpro,2026-04-14 10:38:42
47729046,Air Powered Segment Display? [video],technology,110,11,ProfDreamer,2026-04-14 10:38:42
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,132,30,galaxyLogic,2026-04-14 10:38:45
47755209,B-trees and database indexes (2024),technology,108,40,tosh,2026-04-14 10:38:48
47750872,Servo is now available on crates.io,technology,451,146,ffin,2026-04-14 10:38:49
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,86,41,bookofjoe,2026-04-14 10:38:50
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,85,24,mfilion,2026-04-14 10:38:50
47759292,The AI revolution in math has arrived,technology,84,48,sonabinu,2026-04-14 10:38:54
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,262,108,dvaughan,2026-04-14 10:38:59
47733217,Exploiting the most prominent AI agent benchmarks,technology,579,140,Anon84,2026-04-14 10:38:59
47754179,Claude Code may be burning your limits with invisible tokens,technology,44,5,jenic_,2026-04-14 10:39:00
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,216,124,iamnothere,2026-04-14 10:39:00
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,401,275,kiyanwang,2026-04-14 10:39:02
47761720,"Microsoft exec suggests AI agents will need to buy licenses, just like employees",technology,16,6,maxloh,2026-04-14 10:39:02
47756672,The looming college-enrollment death spiral,technology,104,138,JumpCrisscross,2026-04-14 10:39:04
47761616,Sam Altman: Man charged with attempting to murder OpenAI boss,technology,10,1,taspeotis,2026-04-14 10:39:05
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,9,0,adulion,2026-04-14 10:39:12
47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,16,0,isaacfrond,2026-04-14 10:39:50
47758343,CIA reportedly used Pegasus software during rescue of airman in Iran,worldnews,39,0,Cider9986,2026-04-14 10:40:04
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 10:40:18
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,276,neversaydie,2026-04-14 10:40:22
47728653,"France's government is ditching Windows for Linux, says US tech a strategic risk",worldnews,506,303,pabs3,2026-04-14 10:40:27
47735405,Software Preservation Group: C++ History Collection,worldnews,44,3,quuxplusone,2026-04-14 10:40:38
47759079,Sam Altman Attack Suspect Had 'Anti-AI' Document with CEO Names,worldnews,20,3,JumpCrisscross,2026-04-14 10:40:53
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 10:40:56
47757668,Ukraine Tested Space-Launch Capabilities in Middle of War Twice,worldnews,21,0,Teever,2026-04-14 10:41:20
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,worldnews,409,48,WerWolv,2026-04-14 10:41:25
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-14 10:41:26
47745230,Sam Altman's home targeted in second attack,worldnews,152,353,babelfish,2026-04-14 10:41:31
47761215,Pepsi was warned $7 for Doritos was too much. Now they are paying the price,worldnews,8,0,matthest,2026-04-14 10:41:35
47695666,Show HN: Druids – Build your own software factory,worldnews,64,15,etherio,2026-04-14 10:41:46
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 10:41:52
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,8,1,ceejayoz,2026-04-14 10:42:09
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 10:42:10
47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,worldnews,122,72,fanf2,2026-04-14 10:42:11
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 10:42:14
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,tlhunter,2026-04-14 10:42:28
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 10:42:37
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,422,236,m-hodges,2026-04-14 10:42:46
47761825,Roblox devs now need a subscription to share their games freely,sports,53,57,hallole,2026-04-14 10:42:58
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,129,38,radeeyate,2026-04-14 10:43:22
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-14 10:43:44
47749295,Show HN: Equirect – a Rust VR video player,sports,13,1,greggman65,2026-04-14 10:43:53
47698111,Bevy game development tutorials and in-depth resources,sports,138,68,GenericCanadian,2026-04-14 10:43:58
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 10:44:00
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,82,26,jscalo,2026-04-14 10:44:08
47731707,"Rockstar Games Hacked, Hackers Threaten a Massive Data Leak If Not Paid Ransom",sports,109,63,c420,2026-04-14 10:45:07
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,120,36,pruz,2026-04-14 10:45:24
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,sports,262,278,speckx,2026-04-14 10:45:28
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,28,6,russellharper,2026-04-14 10:45:32
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 10:45:48
47747625,Code Review Is the New Bottleneck for Engineering Teams,sports,14,1,gpi,2026-04-14 10:45:48
47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,49,joeax,2026-04-14 10:45:50
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-14 10:46:07
47729925,Show HN: I rebuilt a 2000s browser strategy game on Cloudflare's edge,sports,7,1,parzivalt,2026-04-14 10:46:11
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,sports,61,32,testing22321,2026-04-14 10:46:33
47728192,"If you started a company two years ago, many assumptions are no longer true",science,190,138,tie-in,2026-04-14 10:47:00
47738343,The Physics of GPS,science,161,35,maouida,2026-04-14 10:47:30
47758831,FAA Says Military Can Use Anti-Drone Lasers in U.S. Airspace,science,22,5,bookofjoe,2026-04-14 10:47:38
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,135,19,sohkamyung,2026-04-14 10:48:08
47704804,How NASA built Artemis II’s fault-tolerant computer,science,637,235,speckx,2026-04-14 10:48:10
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 10:48:22
47739305,Tell HN: OpenAI silently removed Study Mode from ChatGPT,science,178,77,smokel,2026-04-14 10:48:29
47759281,NASA Moon Base User's Guide [pdf],science,6,1,sethbannon,2026-04-14 10:48:35
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 10:48:37
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,29,13,thunderbong,2026-04-14 10:48:47
47727711,20 years on AWS and never not my job,science,256,65,cperciva,2026-04-14 10:48:50
47706141,Research-Driven Agents: When an agent reads before it codes,science,212,54,hopechong,2026-04-14 10:49:17
47741449,SpaceX holds $603M in Bitcoin despite $5B loss stemming from xAI,science,27,9,lexandstuff,2026-04-14 10:49:21
47704443,Study found that young adults have grown less hopeful and more angry about AI,science,141,185,elsewhen,2026-04-14 10:49:57
47702791,Show HN: 41 years sea surface temperature anomalies,science,147,73,willmeyers,2026-04-14 10:50:05
47733222,Show HN: Bitcoin and Quantum Computing – a three-part research series,science,6,1,nvk,2026-04-14 10:50:17
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,152,39,cvrajeesh,2026-04-14 10:50:53
47757552,Show HN: Continual Learning with .md,entertainment,26,24,wenhan_zhou,2026-04-14 10:51:13
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,507,288,a-ve,2026-04-14 10:51:15
47724352,Filing the corners off my MacBooks,entertainment,1397,669,normanvalentine,2026-04-14 10:51:19
47754559,Show HN: Mcptube – Karpathy's LLM Wiki idea applied to YouTube videos,entertainment,9,0,0xchamin,2026-04-14 10:51:22
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 10:51:25
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,31,2,joe_mamba,2026-04-14 10:51:26
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,101,Rochus,2026-04-14 10:51:29
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,entertainment,180,124,JanSchu,2026-04-14 10:51:30
47741889,Show HN: Claudraband – Claude Code for the Power User,entertainment,117,44,halfwhey,2026-04-14 10:51:38
47727960,Show HN: Pardonned.com – A searchable database of US Pardons,entertainment,496,272,vidluther,2026-04-14 10:51:39
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 10:52:01
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 10:52:11
47743700,European AI. A playbook to own it,entertainment,199,132,hjouneau,2026-04-14 10:52:14
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 10:52:15
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,13,1,plonkus,2026-04-14 10:52:19
47744683,Show HN: Rekal – Long-term memory for LLMs in a single SQLite file,entertainment,7,9,jeeybee,2026-04-14 10:52:25
